,N_sim,N_BHBH_GW_from_all_prog,N_MS_comp,N_noWR_comp,N_WR_comp,N_RLO_preSN,N_CE_preSN,N_noMTpreSN,N_RLO_postSN,N_CE_postSN,N_noMTpostSN
IsoT,4180282.0,19469.0,16640.0,0.0,2045.0,17365.0,2104.0,0.0,9296.0,7978.0,2195.0
JeansT,4180272.0,12606.0,9671.0,0.0,2021.0,10592.0,2014.0,0.0,4026.0,6491.0,2089.0
LminT,4180271.0,38933.0,32050.0,0.0,5226.0,35510.0,3423.0,0.0,31800.0,1240.0,5893.0
LmaxT,4180271.0,21309.0,15458.0,0.0,4838.0,16031.0,5278.0,0.0,15278.0,622.0,5409.0
IsoNT,4180258.0,17618.0,14211.0,0.0,2760.0,14710.0,2908.0,0.0,6383.0,7988.0,3247.0
JeansNT,4180258.0,9138.0,5714.0,0.0,2652.0,6356.0,2782.0,0.0,18.0,6476.0,2644.0
LminNT,4180258.0,39817.0,32090.0,0.0,6226.0,32760.0,7057.0,0.0,30514.0,1146.0,8157.0
LmaxNT,4180252.0,17782.0,10504.0,0.0,6431.0,9482.0,8300.0,0.0,9978.0,597.0,7207.0
