,N_sim,N_MSBH_to_all_fates,N_MSBH_to_BBH,N_RLO_postSN_to_BBH,N_CE_postSN_to_BBH,N_noMTpostSN_to_BBH,N_merge,N_WD,N_NS,N_BH,N_RLO_preSN,N_CE_preSN,N_noMTpreSN
IsoT,4180282.0,418987.0,16638.0,9280.0,7293.0,65.0,33025.0,16.0,135925.0,233383.0,205415.0,48558.0,165014.0
JeansT,4180272.0,424814.0,9670.0,4019.0,5633.0,18.0,38716.0,19.0,133173.0,243236.0,211337.0,48463.0,165014.0
LminT,4180271.0,381380.0,32049.0,30819.0,931.0,299.0,59808.0,15.0,117541.0,171967.0,164898.0,51468.0,165014.0
LmaxT,4180271.0,350191.0,15458.0,14533.0,466.0,459.0,87504.0,13.0,104979.0,142237.0,122389.0,62788.0,165014.0
IsoNT,4180258.0,465781.0,14210.0,6364.0,7413.0,433.0,53348.0,20.0,141214.0,256989.0,221728.0,65037.0,179016.0
JeansNT,4180258.0,476912.0,5711.0,0.0,5711.0,0.0,61994.0,18.0,137751.0,271438.0,233018.0,64878.0,179016.0
LminNT,4180258.0,397770.0,32090.0,29718.0,919.0,1453.0,65095.0,20.0,121082.0,179483.0,144212.0,74542.0,179016.0
LmaxNT,4180252.0,364593.0,10504.0,9446.0,468.0,590.0,93333.0,12.0,110792.0,149952.0,101677.0,83900.0,179016.0
