,N_sim,N_MSBH_to_all_fates,N_MSBH_to_BBH,N_RLO_postSN_to_BBH,N_CE_postSN_to_BBH,N_noMTpostSN_to_BBH,N_merge,N_WD,N_NS,N_BH,N_RLO_preSN,N_CE_preSN,N_noMTpreSN
LmaxT,4177969.0,413091.0,6800.0,3106.0,261.0,3433.0,81940.0,17.0,142330.0,182004.0,148002.0,64760.0,200329.0
LmaxNT,4180096.0,424016.0,9019.0,5003.0,477.0,3539.0,69380.0,16.0,153518.0,192083.0,132021.0,82440.0,209555.0
