,N_sim,N_MSBH_to_all_fates,N_MSBH_to_BBH,N_RLO_postSN_to_BBH,N_CE_postSN_to_BBH,N_noMTpostSN_to_BBH,N_merge,N_WD,N_NS,N_BH,N_RLO_preSN,N_CE_preSN,N_noMTpreSN
LmaxT,4175990.0,348318.0,9233.0,8339.0,465.0,429.0,96802.0,14.0,104343.0,137926.0,120893.0,62438.0,164987.0
LmaxNT,4179326.0,363722.0,9950.0,8917.0,467.0,566.0,93111.0,12.0,110775.0,149874.0,100875.0,83837.0,179010.0
