,N_sim,N_BHBH_GW_from_all_prog,N_MS_comp,N_noWR_comp,N_WR_comp,N_RLO_preSN,N_CE_preSN,N_noMTpreSN,N_RLO_postSN,N_CE_postSN,N_noMTpostSN
LmaxT,4175990.0,14989.0,9233.0,0.0,4766.0,9942.0,5047.0,0.0,9073.0,621.0,5295.0
LmaxNT,4179326.0,17176.0,9950.0,0.0,6384.0,8916.0,8260.0,0.0,9449.0,596.0,7131.0
