,N_sim,N_BHBH_GW_from_all_prog,N_MS_comp,N_noWR_comp,N_WR_comp,N_RLO_preSN,N_CE_preSN,N_noMTpreSN,N_RLO_postSN,N_CE_postSN,N_noMTpostSN
LmaxT,4177969.0,11196.0,6800.0,0.0,3347.0,7091.0,4105.0,0.0,3418.0,401.0,7377.0
LmaxNT,4180096.0,14267.0,9019.0,0.0,4322.0,7687.0,6580.0,0.0,5328.0,622.0,8317.0
